Year;Month;Date;Zip Code;Active Energy (kWh)
2022;5;2022-05;2680;4046222.586
2022;5;2022-05;2715;7482183.636
2022;5;2022-05;2720;6539674.591
2022;5;2022-05;2755;2580792.055
2022;5;2022-05;2765;8467267.902
2022;5;2022-05;2820;6522617.062
2022;5;2022-05;2835;9302961.826
2022;5;2022-05;2840;51567929.043
2022;5;2022-05;2845;9079085.289
2022;5;2022-05;2865;3532150.244
2022;5;2022-05;2965;4565584.157
2022;5;2022-05;2985;3875058.204
2022;5;2022-05;3000;10981646.255
2022;5;2022-05;3020;13607931.945
2022;5;2022-05;3130;5627258.467
2022;5;2022-05;3220;2021351.661
2022;5;2022-05;3230;1471517.583
2022;5;2022-05;3280;795034.255
2022;5;2022-05;3320;901200.546
2022;5;2022-05;3405;1233860.421
2022;5;2022-05;3420;2747535.524
2022;5;2022-05;3500;10295848.283
2022;5;2022-05;3505;5447020.709
2022;5;2022-05;3520;17107855.598
2022;5;2022-05;3550;1349529.408
2022;5;2022-05;3600;2717911.362
2022;5;2022-05;3620;2570891.947
2022;5;2022-05;3670;2112169.308
2022;5;2022-05;3720;24815295.242
2022;5;2022-05;3740;2755555.592
2022;5;2022-05;3810;14474255.433
2022;5;2022-05;3840;8020240.873
2022;5;2022-05;3860;54346219.108
2022;5;2022-05;3865;3347195.965
2022;5;2022-05;3885;14712020.881
2022;5;2022-05;4000;13077295.729
2022;5;2022-05;4150;15615795.96
2022;5;2022-05;4400;20122688.821
2022;5;2022-05;4410;13082388.951
2022;5;2022-05;4425;17682865.44
2022;5;2022-05;4435;12410520.291
2022;5;2022-05;4470;29725259.034
2022;5;2022-05;4480;12731394.711
2022;5;2022-05;4485;17381790.125
2022;5;2022-05;4495;2776789.517
2022;5;2022-05;4505;8243337.026
2022;5;2022-05;4515;2874089.596
2022;5;2022-05;4525;3890385.573
2022;5;2022-05;4550;3494330.574
2022;5;2022-05;4585;10090847.454
2022;5;2022-05;4605;1517674.659
2022;5;2022-05;4690;2579626.415
2022;5;2022-05;4710;13007967.722
2022;5;2022-05;4720;3665181.309
2022;5;2022-05;4770;20165168.099
2022;5;2022-05;4795;14702832.085
2022;5;2022-05;4825;6239448.128
2022;5;2022-05;4850;3908916.49
2022;5;2022-05;4870;1226608.577
2022;5;2022-05;4890;2998191.643
2022;5;2022-05;4905;24598000.21
2022;5;2022-05;4910;3897963.559
2022;5;2022-05;4925;4715418.956
2022;5;2022-05;4950;5221639.041
